specimen,population,SVL,HdLngth,HdWdth,HdDpth,EyeNost,Gape,TrunkLgth,TrunkWdth,3rdtoehind,site,elevation,long.deg,long.mins,lat.deg,lat.mins
41220,CS,89.53,17.425,10.72,5.505,4.565,9.825,51.815,8.785,3.13,cullowhee valley,2400,83,12,35,17
28164,"NA",72.675,15.555,9.83,4.965,3.54,9.505,40.26,7.34,2.56,"ball cr., coweeta",4000,83,28,35,2
28164,"NA",84.27,16.525,11.42,5.46,4.07,11.015,47.1,9.655,3.21,"ball cr., coweeta",4000,83,28,35,2
28164,"NA",94.375,18.965,12.63,6.04,4.535,11.535,52.645,10.465,2.855,"ball cr., coweeta",4000,83,28,35,2
28164,"NA",70.12,15.7,9.9,4.445,3.415,9.385,41.9,7.63,2.5,"ball cr., coweeta",4000,83,28,35,2
28164,"NA",77.265,16.085,10.4,4.705,3.855,9.89,42.75,8.31,2.355,"ball cr., coweeta",4000,83,28,35,2
28164,"NA",73.33,15.585,10.32,4.805,2.98,9.97,39.855,8.64,2.32,"ball cr., coweeta",4000,83,28,35,2
28164,"NA",72.7,14.41,10.055,4.7,3.39,9.85,42.32,8.78,2.185,"ball cr., coweeta",4000,83,28,35,2
28164,"NA",96.47,19.745,13.065,6.86,5.31,12.15,57.43,11.54,2.59,"ball cr., coweeta",4000,83,28,35,2
28164,"NA",81.7,17.665,11.355,5.875,3.42,11.025,46.595,9.68,2.95,"ball cr., coweeta",4000,83,28,35,2
28178,"NA",64.985,14.33,9.46,4.24,3.28,9.11,36.05,7.925,2.74,deep gap,4300,83,33,35,2
28178,"NA",86.34,16.635,11.055,5.195,3.94,10.375,46.52,9.76,2.49,deep gap,4300,83,33,35,2
28178,"NA",86.94,17.49,11.87,5.285,3.86,11.28,48.9,10.32,2.24,deep gap,4300,83,33,35,2
28178,"NA",75.91,14.77,10.44,5.46,3.285,10.085,43.51,8.485,2.505,deep gap,4300,83,33,35,2
28181,"NA",69.01,15.075,9.525,4.625,3.645,9.285,40.49,7.275,2.335,"ball cr., coweeta",4000,83,28,35,2
28181,"NA",64.79,14.505,9.035,3.85,2.615,8.555,35.19,6.415,2.19,"ball cr., coweeta",4000,83,28,35,2
28181,"NA",98.675,20.235,13.305,6.595,4.785,12.805,56.785,10.92,3.66,"ball cr., coweeta",4000,83,28,35,2
41272,"NA",84.955,17.51,11.615,5.215,4.205,10.6,49.775,10.205,2.945,wayah bald,5200,83,34,35,11
41273,"NA",62.825,13.34,8.98,4.055,3.085,8.545,36.065,6.92,2.455,wayah bald,5200,83,34,35,11
41274,"NA",93.81,19.675,12.715,5.76,4.355,12.445,54.98,9.765,2.575,wayah bald,5200,83,34,35,11
42221,"NA",81.185,15.445,10.755,5.595,3.955,9.625,45.42,8.01,3.455,wayah bald,5200,83,34,35,11
42222,"NA",77.185,15.48,11.14,4.89,3.86,10.62,44.815,8.57,3.095,wayah bald,5200,83,34,35,11
42230,"NA",93.945,19.395,11.5,5.645,4.565,10.745,55.455,8.68,3.38,wilson lick (wb),4400,83,35,35,10
42237,"NA",75.775,15.59,10.375,5.045,4,9.995,41.97,7.23,2.485,robin branch,4800,83,35,35,10
42238,"NA",87.44,17.125,11.565,5.13,3.98,11.305,50.915,8.175,3.645,robin branch,4800,83,35,35,10
42239,"NA",77.495,15.96,10.18,4.95,4.065,9.655,41.1,8.13,2.675,robin branch,4800,83,35,35,10
42240,"NA",77.42,16.515,10.29,4.83,3.48,9.905,42.115,7.74,2.88,robin branch,4800,83,35,35,10
42241,"NA",73.57,14.61,10.115,4.61,4.105,9.34,41.815,7.11,2.7,robin branch,4800,83,35,35,10
42242,"NA",79.13,15.795,11.15,5.25,4.11,10.09,43.455,7.98,3.085,robin branch,4800,83,35,35,10
42245,"NA",65.59,13.595,8.95,4.47,3.215,8.545,35.475,6.555,2.14,robin branch,4800,83,35,35,10
42246,"NA",85.505,17.09,11.055,5.73,3.745,10.935,46.34,8.12,3.165,robin branch,4800,83,35,35,10
42247,"NA",77.83,16.44,10.09,5.1,4.83,9.74,41.27,8.04,3.575,robin branch,4800,83,35,35,10
42248,"NA",79.195,16.42,10.17,4.85,3.99,9.975,44.04,7.775,2.86,robin branch,4800,83,35,35,10
42249,"NA",80.79,16.83,10.825,4.965,4.12,10.39,46.06,8.53,3.095,robin branch,4800,83,35,35,10
42250,"NA",83.445,17.06,11.5,5.935,4.03,10.38,45.055,8.92,2.75,robin branch,4800,83,35,35,10
42251,"NA",70.27,14.88,10.615,5.165,3.84,9.26,38.355,7.48,2.805,robin branch,4800,83,35,35,10
42252,"NA",69.265,14.12,9.085,4.675,3.91,8.595,37.765,8.235,2.395,robin branch,4800,83,35,35,10
42253,"NA",76.105,15.135,10.25,5.39,3.895,9.75,41.225,8.29,3.015,robin branch,4800,83,35,35,10
42254,"NA",81.655,16.585,10.71,4.87,4.125,9.835,47.38,7.42,3.595,robin branch,4800,83,35,35,10
42257,"NA",96.125,18.885,12.685,6.875,5.005,11.21,53.965,11,3.595,wayah gap,4000,83,35,35,9
42258,"NA",93.48,18.43,11.935,6.34,5.945,11.155,52.91,11.575,3.885,wayah gap,4000,83,35,35,9
42259,"NA",91.3,18.61,10.875,5.81,4.5,10.865,50.24,9.05,3.535,wayah gap,4000,83,35,35,9
42260,"NA",85.47,18.065,11.315,6.04,4.095,10.21,49.4,8.745,3.58,wayah gap,4000,83,35,35,9
42261,"NA",82.64,17.295,9.965,5.515,4.165,9.55,46.315,7.945,2.89,wayah gap,4000,83,35,35,9
42262,"NA",91.71,18.27,11.86,5.935,4.89,11.145,52.885,8.135,2.49,wayah gap,4000,83,35,35,9
42263,"NA",73.645,16.335,9.87,4.68,3.585,9.405,43.45,7.395,2.37,wayah gap,4000,83,35,35,9
42264,"NA",73.29,15.685,9.545,4.57,3.245,9.325,40.27,6.42,2.585,wayah gap,4000,83,35,35,9
